,PLAN,YEAR,CF_ASSET,CF_LIAB,CF_CUM,CF_CUM_ASSET,CF_CUM_LIAB
232,625,2021,78068951.81999998,127949031.80009,907703545.9548001,3255865191.5599995,2348161645.6051993
233,625,2022,108454480.75999999,104486438.45774001,911671588.2570605,3364319672.3199997,2452648084.062939
234,625,2023,109907585.27999997,84953360.212488,936625813.3245721,3474227257.5999994,2537601444.2754273
235,625,2024,109777695.57999997,69720263.01199101,976683245.892581,3584004953.1799994,2607321707.2874184
236,625,2025,82998437.86999999,57095896.446895994,1002585787.3156848,3667003391.049999,2664417603.7343144
237,625,2026,70396006.13999999,47334309.707773,1025647483.7479115,3737399397.189999,2711751913.4420877
238,625,2027,32263935.580000006,39638121.270969994,1018273298.0569415,3769663332.769999,2751390034.7130575
239,625,2028,32537722.13,33424858.213555,1017386161.9733868,3802201054.899999,2784814892.9266124
240,625,2029,31664235.250000004,27757064.777884,1021293332.4455028,3833865290.149999,2812571957.7044964
241,625,2030,46413945.0,23507196.332317002,1044200081.1131859,3880279235.149999,2836079154.0368133
242,625,2031,13655962.81,19647912.503263,1038208131.4199228,3893935197.959999,2855727066.5400763
243,625,2032,22515689.26,16416452.811408002,1044307367.868515,3916450887.2199993,2872143519.3514843
244,625,2033,28927917.5,13828819.688028,1059406465.6804872,3945378804.7199993,2885972339.039512
245,625,2034,6076167.5,11700544.898923999,1053782088.2815633,3951454972.2199993,2897672883.938436
246,625,2035,12493042.5,9715569.9292881,1056559560.8522754,3963948014.7199993,2907388453.867724
247,625,2036,9427492.5,8154494.9876225,1057832558.3646526,3973375507.2199993,2915542948.8553467
248,625,2037,4385242.5,7214904.2698853,1055002896.5947676,3977760749.7199993,2922757853.1252317
249,625,2038,509242.5,6421000.786518199,1049091138.3082495,3978269992.2199993,2929178853.91175
250,625,2039,509242.5,5641997.532369399,1043958383.2758799,3978779234.7199993,2934820851.4441195
251,625,2040,12509242.5,4859359.1514985,1051608266.6243815,3991288477.2199993,2939680210.595618
252,625,2041,3411242.5,4061039.7546221004,1050958469.3697596,3994699719.7199993,2943741250.3502398
253,625,2042,270242.5,3241229.9869388,1047987481.8828206,3994969962.2199993,2946982480.3371787
254,625,2043,270242.5,2486017.35674,1045771707.0260806,3995240204.7199993,2949468497.6939187
255,625,2044,3265242.5,1903497.6686465,1047133451.8574343,3998505447.2199993,2951371995.362565
256,625,2045,116000.0,1456105.1843370001,1045793346.6730971,3998621447.2199993,2952828100.546902
257,625,2046,4116000.0,1112404.1129535001,1048796942.5601435,4002737447.2199993,2953940504.659856
